qid,question,answer
medquestions-500-0000,What are the genetic changes related to familial adenomatous polyposis ?,"Mutations in the APC gene cause both classic and attenuated familial adenomatous polyposis. These mutations affect the ability of the cell to maintain normal growth and function. Cell overgrowth resulting from mutations in the APC gene leads to the colon polyps seen in familial adenomatous polyposis. Although most people with mutations in the APC gene will develop colorectal cancer, the number of polyps and the time frame in which they become malignant depend on the location of the mutation in the gene.  Mutations in the MUTYH gene cause autosomal recessive familial adenomatous polyposis (also called MYH-associated polyposis). Mutations in this gene prevent cells from correcting mistakes that are made when DNA is copied (DNA replication) in preparation for cell division. As these mistakes build up in a person's DNA, the likelihood of cell overgrowth increases, leading to colon polyps and the possibility of colon cancer."
medquestions-500-0001,What are the treatments for Noonan syndrome ?,These resources address the diagnosis or management of Noonan syndrome:  - Gene Review: Gene Review: Noonan Syndrome  - Genetic Testing Registry: Noonan syndrome  - Genetic Testing Registry: Noonan syndrome 1  - Genetic Testing Registry: Noonan syndrome 2  - Genetic Testing Registry: Noonan syndrome 3  - Genetic Testing Registry: Noonan syndrome 4  - Genetic Testing Registry: Noonan syndrome 5  - Genetic Testing Registry: Noonan syndrome 6  - Genetic Testing Registry: Noonan syndrome 7  - MedlinePlus Encyclopedia: Noonan Syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
medquestions-500-0002,How to diagnose National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"CJD is usually diagnosed based on signs and symptoms of the illness, how severe they are, and how quickly they become worse. However, doctors must study brain tissue from a biopsy or autopsy in order to make a definite diagnosis of CJD.
                
Other tests can suggest CJD. In 1996, researchers developed a test that helps doctors diagnose CJD in patients with symptoms. This test detects an abnormal protein in a sample of spinal fluid. When this protein is found, it helps make a diagnosis of CJD. It is much easier and safer to take a sample of spinal fluid than to do a brain biopsy. Unfortunately, this test cannot identify CJD in patients who do not have symptoms. The test cannot predict who may develop CJD in the future.
                
Researchers from many countries, including the United States, have reported success using MRI to diagnose CJD and vCJD in people with symptoms of the disease. MRI is a safe and painless tool that allows doctors to look at images of the brain and does not involve the collection of brain or spinal fluid samples."
medquestions-500-0003,Is Spastic diplegia cerebral palsy inherited ?,"Is spastic diplegia cerebral palsy inherited? Scientists have found that family members of people with cerebral palsy, including spastic diplegia cerebral palsy, have an increased risk of developing the condition. The exact risk depends on the how closely the family members are related: A child with a sibling (brother, sister) or parent with cerebral palsy would have a six- to nine-fold increased risk of developing the condition (actual risk: 1 to 1.5%) A child with a half sibling with cerebral palsy would have up to a three-fold risk of developing the condition (actual risk: less than 1%) A child with a first cousin with cerebral palsy would have a 1.5-fold increased risk of developing the condition (actual risk: less than 1%) This suggests that there may be a genetic component in some cases of cerebral palsy. However, the inheritance is likely multifactorial which means the condition is caused by multiple genes interacting with each other and with environmental factors."
medquestions-500-0004,Is restless legs syndrome inherited ?,"The inheritance pattern of restless legs syndrome is usually unclear because many genetic and environmental factors can be involved. The disorder often runs in families: 40 to 90 percent of affected individuals report having at least one affected first-degree relative, such as a parent or sibling, and many families have multiple affected family members. Studies suggest that the early-onset form of the disorder is more likely to run in families than the late-onset form.  In some affected families, restless legs syndrome appears to have an autosomal dominant pattern of inheritance. Autosomal dominant inheritance suggests that one copy of an altered gene in each cell is sufficient to cause the disorder. However, the genetic changes associated with restless legs syndrome in these families have not been identified."
medquestions-500-0005,What are the symptoms of Hall Riggs mental retardation syndrome ?,"What are the signs and symptoms of Hall Riggs mental retardation syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Hall Riggs mental retardation syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Anteverted nares 90% Cognitive impairment 90% Epicanthus 90% Microcephaly 90% Neurological speech impairment 90% Short stature 90% Thick lower lip vermilion 90% Wide nasal bridge 90% Abnormality of epiphysis morphology 50% Abnormality of the metaphyses 50% Brachydactyly syndrome 50% Coarse hair 50% Delayed skeletal maturation 50% Downturned corners of mouth 50% Hypertelorism 50% Limb undergrowth 50% Nausea and vomiting 50% Platyspondyly 50% Scoliosis 50% Seizures 50% Slow-growing hair 50% Wide mouth 50% Abnormality of dental enamel 7.5% Delayed eruption of teeth 7.5% Limitation of joint mobility 7.5% Absent speech - Autosomal recessive inheritance - Depressed nasal bridge - Failure to thrive - Feeding difficulties in infancy - Hypoplasia of dental enamel - Hypoplasia of the primary teeth - Intellectual disability - Intrauterine growth retardation - Irregular vertebral endplates - Kyphosis - Metaphyseal dysplasia - Microdontia of primary teeth - Osteoporosis - Prominent nose - U-Shaped upper lip vermilion - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0006,What is (are) Diagnosis of Diabetes and Prediabetes ?,"Prediabetes is when blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. Prediabetes means a person is at increased risk for developing type 2 diabetes, as well as for heart disease and stroke. Many people with prediabetes develop type 2 diabetes within 10 years.
                
However, modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes."
medquestions-500-0007,How to diagnose Nonalcoholic steatohepatitis ?,"How is nonalcoholic steatohepatitis diagnosed? NASH is usually first suspected when elevations are noted in liver tests that are included in routine blood test panels. These may include alanine aminotransferase (ALT) or aspartate aminotransferase (AST). When further evaluation shows no apparent reason for liver disease (such as medications, viral hepatitis, or excessive use of alcohol) and when x-rays or imaging studies of the liver show fat, NASH is suspected. The only way to definitely diagnosis NASH and separate it from simple fatty liver is through a liver biopsy. For a liver biopsy, a needle is inserted through the skin to remove a small piece of the liver. NASH is diagnosed when examination of the tissue with a microscope shows fat along with inflammation and damage to liver cells. If the tissue shows fat without inflammation and damage, simple fatty liver or NAFLD is diagnosed. An important piece of information learned from the biopsy is whether scar tissue has developed in the liver. Blood tests and scans cannot reliably provide this information at this time."
medquestions-500-0008,What is (are) Teenage Pregnancy ?,"Most teenage girls don't plan to get pregnant, but many do. Teen pregnancies carry extra health risks to both the mother and the baby. Often, teens don't get prenatal care soon enough, which can lead to problems later on. They have a higher risk for pregnancy-related high blood pressure and its complications. Risks for the baby include premature birth and a low birth weight.    If you're a pregnant teen, you can help yourself and your baby by       - Getting regular prenatal care    - Taking your prenatal vitamins for your health and to prevent some birth defects    - Avoiding smoking, alcohol, and drugs    - Using a condom, if you are having sex, to prevent sexually transmitted diseases that could hurt your baby"
medquestions-500-0009,What are the symptoms of Split hand foot malformation ?,"What are the signs and symptoms of Split hand foot malformation? The Human Phenotype Ontology provides the following list of signs and symptoms for Split hand foot malformation. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of chromosome segregation 90% Abnormality of the ankles 90% Abnormality of the metacarpal bones 90% Low-set, posteriorly rotated ears 90% Abnormality of the wrist 50% Aplasia/Hypoplasia of the radius 50% Aplasia/Hypoplasia of the thumb 50% Cognitive impairment 50% Conductive hearing impairment 50% Cryptorchidism 50% Myopia 50% Narrow mouth 50% Proteinuria 50% Renal hypoplasia/aplasia 50% Renal insufficiency 50% Abnormality of the pinna 35% Hearing impairment 35% Cleft palate 33% Intellectual disability 33% Oligodactyly (feet) 33% Oligodactyly (hands) 33% Syndactyly 33% Abnormality of cardiovascular system morphology 13% Abnormality of the ulna 7.5% Absent hand 7.5% Aplasia/Hypoplasia of the iris 7.5% Aplasia/Hypoplasia of the tongue 7.5% Macrocephaly 7.5% Microdontia 7.5% Nystagmus 7.5% Prominent nasal bridge 7.5% Sensorineural hearing impairment 7.5% Short stature 7.5% Tarsal synostosis 7.5% Hypoplasia of the maxilla 5% Aplasia/Hypoplasia involving the metacarpal bones - Aplasia/Hypoplasia of metatarsal bones - Aplasia/Hypoplasia of the phalanges of the hand - Aplasia/Hypoplasia of the phalanges of the toes - Autosomal dominant inheritance - Autosomal recessive inheritance - Broad hallux - Camptodactyly - Clinodactyly - Ectrodactyly - Finger syndactyly - High palate - Incomplete penetrance - Microretrognathia - Nail dystrophy - Renal hypoplasia - Ridged nail - Short metacarpal - Short phalanx of finger - Split foot - Split hand - Toe syndactyly - Triphalangeal thumb - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0010,What are the treatments for Ovarian small cell carcinoma ?,"What treatments are available for ovarian small cell carcinoma? Ovarian small cell carcinoma is often treated with surgery and chemotherapy. Radiation therapy may also be used in some cases. Because this tumor is derived from the primitive germ cells (eggs) of the ovary, it is often treated with a chemotherapy regimen similar to what is used to treat ovarian germ cell tumors. Specifically, platinum and etoposide based chemotherapy is typically used to treat ovarian small cell carcinoma."
medquestions-500-0011,How many people are affected by Kufs disease ?,"Collectively, all forms of NCL affect an estimated 1 in 100,000 individuals worldwide. NCLs are more common in Finland, where approximately 1 in 12,500 individuals have the condition. Kufs disease is thought to represent 1.3 to 10 percent of all NCLs."
medquestions-500-0012,What causes Multifocal motor neuropathy ?,"What causes multifocal motor neuropathy? The exact underlying cause of multifocal motor neuropathy (MMN) is poorly understood. It is considered an immune-mediated disorder (due to an abnormal immune system response), both because IVIG therapy improves symptoms, and many patients have anti-GM1 antibodies. Research to further understand the cause of MMN is underway."
medquestions-500-0013,What are the symptoms of Karak syndrome ?,"What are the signs and symptoms of Karak syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Karak syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Babinski sign - Bradykinesia - Cerebellar atrophy - Cerebral atrophy - Chorea - Delayed speech and language development - Dysarthria - Dysdiadochokinesis - Dysmetria - Dysphagia - Dystonia - Emotional lability - Feeding difficulties - Gait ataxia - Hyperactivity - Impaired smooth pursuit - Impulsivity - Intention tremor - Mental deterioration - Neurodegeneration - Neurofibrillary tangles - Nystagmus - Optic atrophy - Phenotypic variability - Progressive - Seizures - Short attention span - Spasticity - Talipes calcaneovalgus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
medquestions-500-0014,How to diagnose Rheumatoid Arthritis ?,"Rheumatoid arthritis can be difficult to diagnose in its early stages because the full range of symptoms develops over time, and only a few symptoms may be present in the early stages. As part of the diagnosis, your doctor will look for symptoms such as swelling, warmth, pain, and limitations in joint motion throughout your body. Your doctor may ask you questions about the intensity of your pain symptoms, how often they occur, and what makes the pain better or worse."
