qid,model,question,model_answer,latency_ms,status,error
medquestions-500-0000,gemini-2.5-flash,What are the genetic changes related to familial adenomatous polyposis ?,Germline mutation in the *APC* gene.,818,ok,
medquestions-500-0001,gemini-2.5-flash,What are the treatments for Noonan syndrome ?,"Treatment for Noonan syndrome is supportive and focuses on managing symptoms and associated health problems. It may include:

*   **Cardiac management:** For heart defects.
*   **Growth hormone therapy:** For short stature.
*   **Developmental therapies:** Physical, occupational, speech, and educational support.
*   **Blood thinners or other interventions:** For bleeding disorders.
*   **Surgery:** For specific complications (e.g., eye problems, undescended testicles).
*   **Regular monitoring:** For hearing, vision, kidney, and other potential issues.",1731,ok,
medquestions-500-0002,gemini-2.5-flash,How to diagnose National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"NHPP is a program providing information for individuals treated with pituitary human growth hormone, not a medical condition. Therefore, it cannot be diagnosed.",2260,ok,
medquestions-500-0003,gemini-2.5-flash,Is Spastic diplegia cerebral palsy inherited ?,"Generally no.

Spastic diplegia, a type of cerebral palsy, is typically caused by brain damage that occurs before, during, or shortly after birth, not by inheritance. While rare genetic factors can sometimes increase risk, it's not directly passed down.",2963,ok,
medquestions-500-0004,gemini-2.5-flash,Is restless legs syndrome inherited ?,"Yes, it often has a strong genetic component, particularly the primary form of the syndrome.",1480,ok,
medquestions-500-0005,gemini-2.5-flash,What are the symptoms of Hall Riggs mental retardation syndrome ?,"""Hall Riggs mental retardation syndrome"" is not a recognized medical condition in standard medical literature. It's possible the name is mistaken or refers to a different condition.",2253,ok,
medquestions-500-0006,gemini-2.5-flash,What is (are) Diagnosis of Diabetes and Prediabetes ?,"**Prediabetes:**
*   Fasting Plasma Glucose (FPG): 100-125 mg/dL
*   2-hour Oral Glucose Tolerance Test (OGTT): 140-199 mg/dL
*   HbA1c: 5.7-6.4%

**Diabetes:**
*   Fasting Plasma Glucose (FPG): ≥126 mg/dL
*   2-hour Oral Glucose Tolerance Test (OGTT): ≥200 mg/dL
*   HbA1c: ≥6.5%
*   Random Plasma Glucose: ≥200 mg/dL (with symptoms of hyperglycemia)",2739,ok,
medquestions-500-0007,gemini-2.5-flash,How to diagnose Nonalcoholic steatohepatitis ?,"Definitive diagnosis requires a **liver biopsy** to confirm steatosis, inflammation, and hepatocellular injury. This is supported by clinical evaluation, blood tests to rule out other liver diseases, and imaging studies showing fat in the liver.",4341,ok,
medquestions-500-0008,gemini-2.5-flash,What is (are) Teenage Pregnancy ?,Teenage pregnancy refers to pregnancy in a female between the ages of 13 and 19. It is often unplanned and can present unique medical and social challenges.,1771,ok,
medquestions-500-0009,gemini-2.5-flash,What are the symptoms of Split hand foot malformation ?,"Symptoms include a deep V-shaped cleft in the hand and/or foot, often with absence or fusion of central digits, leading to an appearance of fewer than five digits. It can affect one or more limbs and vary in severity.",1701,ok,
