qid,model,question,model_answer,latency_ms,status,error
medquestions-500-0000,gpt-4o-mini,What are the genetic changes related to familial adenomatous polyposis ?,"Familial adenomatous polyposis (FAP) is primarily caused by mutations in the APC gene (Adenomatous Polyposis Coli). These mutations lead to the development of numerous colorectal polyps and an increased risk of colorectal cancer. Other genetic changes may include mutations in genes like MUTYH in cases of MUTYH-associated polyposis (MAP), which is a related condition.",2899,ok,
medquestions-500-0001,gpt-4o-mini,What are the treatments for Noonan syndrome ?,"Treatment for Noonan syndrome is symptomatic and may include:

1. **Cardiac management**: Monitoring and treating heart defects.
2. **Growth hormone therapy**: For short stature.
3. **Hormonal therapy**: For puberty-related issues.
4. **Surgical interventions**: For structural abnormalities.
5. **Physical and occupational therapy**: To address developmental delays.
6. **Regular monitoring**: For associated conditions like hearing loss and vision problems.

Consultation with a multidisciplinary team is often recommended.",3872,ok,
medquestions-500-0002,gpt-4o-mini,How to diagnose National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"To diagnose conditions related to the National Hormone and Pituitary Program (NHPP) and treatment with pituitary human growth hormone, a comprehensive evaluation typically includes:

1. **Medical History**: Review of symptoms and treatment history.
2. **Physical Examination**: Assessment of growth patterns and physical development.
3. **Hormonal Testing**: Blood tests to measure growth hormone levels and other related hormones.
4. **Imaging Studies**: MRI or CT scans to evaluate pituitary gland abnormalities.
5. **Stimulation Tests**: Tests to assess the pituitary gland's ability to produce growth hormone.

Consult a healthcare professional for a tailored diagnostic approach.",2565,ok,
medquestions-500-0003,gpt-4o-mini,Is Spastic diplegia cerebral palsy inherited ?,"Spastic diplegia cerebral palsy is not typically inherited. It usually results from brain injury or abnormal brain development, often occurring during pregnancy, childbirth, or shortly after birth. Genetic factors may play a role in some cases, but it is not directly inherited in a Mendelian manner.",1500,ok,
medquestions-500-0004,gpt-4o-mini,Is restless legs syndrome inherited ?,"Yes, restless legs syndrome (RLS) can have a genetic component and may run in families. However, environmental factors can also play a role.",1582,ok,
medquestions-500-0005,gpt-4o-mini,What are the symptoms of Hall Riggs mental retardation syndrome ?,"Hall Riggs syndrome, also known as Hall-Riggs mental retardation syndrome, is characterized by developmental delays, intellectual disability, and specific physical features. Symptoms may include:

- Intellectual disability
- Delayed speech and language development
- Behavioral issues
- Distinctive facial features (though these can vary)
- Possible motor skill delays

Consult a healthcare professional for a comprehensive evaluation and diagnosis.",4388,ok,
medquestions-500-0006,gpt-4o-mini,What is (are) Diagnosis of Diabetes and Prediabetes ?,"Diagnosis of diabetes and prediabetes is typically based on the following tests:

1. **Fasting Plasma Glucose (FPG)**:
   - Diabetes: FPG ≥ 126 mg/dL (7.0 mmol/L)
   - Prediabetes: FPG 100-125 mg/dL (5.6-6.9 mmol/L)

2. **Oral Glucose Tolerance Test (OGTT)**:
   - Diabetes: 2-hour plasma glucose ≥ 200 mg/dL (11.1 mmol/L)
   - Prediabetes: 2-hour plasma glucose 140-199 mg/dL (7.8-11.0 mmol/L)

3. **Hemoglobin A1c (HbA1c)**:
   - Diabetes: HbA1c ≥ 6.5%
   - Prediabetes: HbA1c 5.7-6.4%

4. **Random Plasma Glucose**:
   - Diabetes: Random plasma glucose ≥ 200 mg/dL (11.1 mmol/L) with symptoms of hyperglycemia.

Diagnosis should be confirmed with repeat testing unless there are clear symptoms of diabetes.",6550,ok,
medquestions-500-0007,gpt-4o-mini,How to diagnose Nonalcoholic steatohepatitis ?,"Nonalcoholic steatohepatitis (NASH) is diagnosed through a combination of clinical evaluation, imaging studies, and liver biopsy. Key steps include:

1. **Medical History**: Assessing risk factors such as obesity, diabetes, and metabolic syndrome.
2. **Physical Examination**: Checking for signs of liver disease.
3. **Blood Tests**: Evaluating liver function (e.g., ALT, AST) and ruling out other liver diseases.
4. **Imaging**: Ultrasound, CT, or MRI to detect liver fat.
5. **Liver Biopsy**: The gold standard for confirming NASH and assessing liver inflammation and fibrosis.

Consult a healthcare provider for a comprehensive evaluation.",3106,ok,
medquestions-500-0008,gpt-4o-mini,What is (are) Teenage Pregnancy ?,"Teenage pregnancy refers to pregnancies occurring in females aged 13 to 19. It often results from unprotected sexual intercourse and can lead to various health, social, and economic challenges for both the mother and child.",1200,ok,
medquestions-500-0009,gpt-4o-mini,What are the symptoms of Split hand foot malformation ?,"Symptoms of Split Hand Foot Malformation (SHFM) include:

1. Partial or complete absence of fingers or toes.
2. Fusion of fingers or toes (syndactyly).
3. Abnormalities in the shape of the hands and feet.
4. Possible skeletal abnormalities.
5. Variability in severity among individuals.

Consult a healthcare professional for a comprehensive evaluation.",2200,ok,
medquestions-500-0010,gpt-4o-mini,What are the treatments for Ovarian small cell carcinoma ?,"Treatment for ovarian small cell carcinoma typically includes:

1. **Surgery**: To remove the tumor and affected tissues.
2. **Chemotherapy**: Often using a combination of drugs, such as carboplatin and paclitaxel.
3. **Radiation therapy**: May be used in certain cases.
4. **Targeted therapy**: Depending on specific characteristics of the tumor.

Consultation with an oncologist is essential for a tailored treatment plan.",2904,ok,
medquestions-500-0011,gpt-4o-mini,How many people are affected by Kufs disease ?,"Kufs disease is very rare, with an estimated prevalence of fewer than 1 in 100,000 individuals. Exact numbers can vary by population and region.",1254,ok,
medquestions-500-0012,gpt-4o-mini,What causes Multifocal motor neuropathy ?,"Multifocal motor neuropathy (MMN) is primarily caused by an autoimmune response that targets the peripheral nerves, leading to demyelination. It is often associated with the presence of anti-GM1 antibodies. The exact trigger for this autoimmune response is not well understood, but it may involve genetic and environmental factors.",1613,ok,
medquestions-500-0013,gpt-4o-mini,What are the symptoms of Karak syndrome ?,"Karak syndrome is characterized by symptoms such as:

1. Fever
2. Rash
3. Joint pain
4. Muscle pain
5. Fatigue
6. Headache

It is important to consult a healthcare professional for accurate diagnosis and management.",2994,ok,
medquestions-500-0014,gpt-4o-mini,How to diagnose Rheumatoid Arthritis ?,"Rheumatoid arthritis (RA) is diagnosed through a combination of:

1. **Medical History**: Assessing symptoms like joint pain, stiffness, and swelling.
2. **Physical Examination**: Checking for swollen joints and range of motion.
3. **Blood Tests**: Looking for rheumatoid factor (RF), anti-citrullinated protein antibodies (ACPA), and inflammatory markers (like ESR and CRP).
4. **Imaging Tests**: X-rays or MRI to assess joint damage.

A rheumatologist typically conducts the diagnosis.",2335,ok,
medquestions-500-0015,gpt-4o-mini,What are the symptoms of Oculo-cerebral dysplasia ?,"Oculo-cerebral dysplasia may present with symptoms such as:

- Eye abnormalities (e.g., colobomas, strabismus)
- Developmental delays
- Intellectual disability
- Seizures
- Facial dysmorphism
- Hearing loss

Symptoms can vary widely among individuals.",1231,ok,
medquestions-500-0016,gpt-4o-mini,What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,"Treatments for kidney failure include:

1. **Dialysis**: 
   - Hemodialysis: Blood is filtered through a machine.
   - Peritoneal dialysis: Uses the lining of the abdomen to filter blood.

2. **Kidney Transplant**: Replacing the failed kidney with a healthy one from a donor.

3. **Conservative Management**: Focuses on managing symptoms and complications without dialysis or transplant, suitable for some patients.

4. **Medications**: To manage blood pressure, anemia, and other related conditions.

Consult a healthcare provider to determine the best option based on individual health needs.",3354,ok,
medquestions-500-0017,gpt-4o-mini,What are the symptoms of Frias syndrome ?,"Frias syndrome is characterized by a combination of symptoms including:

- Short stature
- Distinctive facial features (such as a broad forehead, prominent nose, and full lips)
- Skeletal abnormalities
- Developmental delays
- Hearing loss
- Heart defects

Symptoms can vary among individuals.",1779,ok,
medquestions-500-0018,gpt-4o-mini,What is (are) Parenting ?,"Parenting refers to the process of raising and nurturing children, encompassing physical, emotional, social, and educational support. It involves providing care, guidance, and discipline to help children develop into healthy, responsible adults.",2470,ok,
medquestions-500-0019,gpt-4o-mini,How to diagnose Von Willebrand Disease ?,"Von Willebrand Disease (VWD) is diagnosed through a combination of the following tests:

1. **Medical History**: Review of bleeding history and family history.
2. **Physical Examination**: Check for signs of bleeding or bruising.
3. **Blood Tests**:
   - **Von Willebrand Factor (VWF) Antigen**: Measures the amount of VWF in the blood.
   - **VWF Activity (ristocetin cofactor assay)**: Assesses the function of VWF.
   - **Factor VIII Activity**: Often measured as it is usually low in VWD.
4. **Genetic Testing**: May be performed to identify specific mutations.

Consult a healthcare provider for a comprehensive evaluation.",3873,ok,
medquestions-500-0020,gpt-4o-mini,Is DMD-associated dilated cardiomyopathy inherited ?,"Yes, DMD-associated dilated cardiomyopathy is inherited in an X-linked recessive pattern, primarily affecting males.",1464,ok,
medquestions-500-0021,gpt-4o-mini,What is (are) Antecubital pterygium ?,Antecubital pterygium refers to a congenital condition characterized by a wing-like fold of skin (pterygium) that extends from the forearm to the elbow (antecubital area). It is often associated with other congenital anomalies and can affect joint movement.,2180,ok,
medquestions-500-0022,gpt-4o-mini,What are the symptoms of Omenn syndrome ?,"Omenn syndrome symptoms include:

1. Erythroderma (red, scaly skin)
2. Lymphadenopathy (swollen lymph nodes)
3. Hepatosplenomegaly (enlarged liver and spleen)
4. Diarrhea
5. Failure to thrive
6. Recurrent infections
7. Eosinophilia (high eosinophil count in blood)

It is a form of severe combined immunodeficiency (SCID).",2473,ok,
